2.9, -0.78, -0.78, 0.61, 1.21, 0.33, -5.91, 2.02;-0.24, 0.13, -0.41, 1.6, 3.41, -2.99, -4.63, 2.27;1.83, -0.29, -0.3, 0.17, -0.33, -0.86, -4.28, 3.86;-1.13, -0.59, 0.42, 2.31, -0.89, -3.25, -0.42, 0.63;-26627, 305522, 382747, -471822, 855443, 337983, 750097, -1357972;AON;139.65,142.63,139.35,140.55,1959934
0.12, -3.64, 2.96, -0.17, -0.83, -1.87, -3.99, 1.86;0.27, -1.32, 0.37, 0.68, -1.72, -1.66, -2.03, 1.15;-0.42, -3.78, 3.33, 0.01, -1.71, -3.18, -1.95, 2.63;-1.02, -0.4, 0.36, 0.01, -2.15, -3.08, 0.76, 0.4;62890, 969252, 2309228, -3170456, -475493, 554349, 446850, -851905;AOS;62.16,63.86,62.13,62.72,1155280
0.07, -1.89, -1.16, 0.38, -1.02, -1.98, -1.99, 1.15;-0.14, -1.95, -0.52, -0.12, -1.15, -1.27, -1.2, 0.24;-0.63, -2.36, 0.26, -0.11, -2.03, -1.63, -1.06, -0.32;-1.43, -2.08, 0.3, -0.18, -1.87, -1.89, 0.19, -1.57;48334, 2706660, -855582, -1050490, 1172241, -1101762, 1697340, -73829;APA;41.18,41.9722,39.33,39.55,5675382
-0.18, -1.26, -0.43, 0.83, 0.01, -2.46, -2.18, 4.81;-0.16, -1.87, -0.12, 1.14, -0.69, -1.31, -1.94, 3.67;-0.45, -1.89, 0.48, 0.61, -1.17, -2.35, -2.56, 3.7;-0.88, -1.21, 0.3, 1.32, -2.26, -2.26, 0.64, 1.23;-2601753, 1982459, -1452178, 703927, 4288162, -837735, 677562, 3269770;APC;60.76,61.23,57.67,58.72,12011935
2.72, -0.25, 2.28, -1.77, -0.81, -3.99, -8.06, 5.24;-0.97, -1.38, 0.41, -1.04, -1.9, -2.86, -2.75, 1.04;3.27, -0.07, 1.28, -1.82, -2.77, -7.03, -2.04, 4.6;-3.18, 1.63, 0.07, -1.58, -3.95, -6.51, 3.89, -2.01;-668395, -241903, 77222, -390819, -120078, 350566, 689126, -746583;APD;159.59,161.83,158.11,158.21,1650018
0.62, -1.0, 1.71, -1.67, 1.13, -1.77, -4.04, 1.29;0.27, 0.03, 0.08, 0.41, -0.68, -0.83, -3.13, 0.95;1.03, -0.77, 1.2, -1.0, -0.21, -3.11, -2.37, 1.75;-0.6, 0.42, 0.22, 0.05, -1.57, -2.84, 0.15, -0.28;326677, -477488, 31244, -220075, 378916, 214304, 554120, -687246;APH;88.01,89.83,87.46,88.28,1782008
2.06, -0.82, 0.85, -4.43, 4.97, -1.92, -4.07, 2.72;0.73, -0.2, 0.7, 0.94, -0.92, -0.36, -2.23, 1.95;1.41, -0.17, 0.15, -3.34, 3.31, -3.1, -2.1, 3.33;0.41, -0.26, 0.25, 1.14, -1.81, -3.07, 1.46, 1.09;650243, -1822938, 1672787, -409560, -206521, 111509, 614939, -1404887;APTV;92.53,95.345,92.2395,93.69,1868427
-1.05, -0.76, 0.42, 3.83, -5.24, -0.52, -4.83, -0.91;-1.2, -0.09, 3.58, 0.71, -4.73, -1.25, -4.14, 0.62;-1.38, -0.83, 2.53, -0.72, -2.47, -3.0, -3.23, 1.32;-1.96, 1.24, 3.95, -4.48, -1.1, -4.24, -1.34, 0.42;204972, 156683, 198794, -77251, -176721, 179911, 199545, -88188;ARE;118.2,120.91,117.77,118.96,963488
0.27, -0.81, -0.02, -0.25, 0.01, -2.36, -1.21, -1.09;0.05, -0.73, 0.33, -0.12, -0.63, -2.05, -1.31, -0.94;-0.16, -0.79, 0.39, -0.05, -0.89, -2.99, -0.84, -0.13;-0.58, -0.34, 0.14, 0.05, -1.0, -2.59, -1.24, -0.18;174674, 1968620, -1028097, -594825, 4813419, 3304146, -908489, -4468327;ARNC;25.1,25.46,24.87,25.1,5549170
1.16, -1.06, 1.52, 0.52, -0.82, -2.12, -4.54, 3.62;0.09, -0.8, 3.06, -0.7, -1.28, -1.83, -1.29, 1.02;0.95, -0.97, 2.23, 0.2, -1.78, -4.47, -1.19, 3.71;-0.07, -0.84, 2.52, -0.78, -1.93, -3.44, 1.72, -0.24;2115329, -2579238, 1774367, -1921962, 1061425, 3962317, 363584, -4269105;ATVI;69.62,70.86,69.43,69.46,6255211
